stt,word,furigana,Sino-Vietnamese,meaning,example
1,青春,せいしゅん,THANH XUÂN,Tuổi trẻ,"[['1. 青春時代を懐かしく思い出す。', 'Tôi hoài niệm về thời thanh xuân.'], ['合 ―時代', 'Thời thanh xuân']]"
2,晩年,ばんねん,VÃN NIÊN,Cuối đời,"[['1. 彼は若い頃は不遇だったが、晩年は幸せに過ごした。', 'Anh ấy thời trẻ đã gặp khó khăn nhưng về già thì sống hạnh phúc.'], ['合 最―', 'Năm cuối đời (Thời điểm gần nhất với lúc một người sắp mất)']]"
3,葬式,そうしき,TÁNG THỨC,Đám tang,"[['1. 知人の葬式に参列した。', 'Tôi đã dự đám tang của người quen.'], ['2. 父の葬式は仏式で行った。', 'Tang lễ của cha tôi được tiến hành theo nghi thức Phật giáo.'], ['3. 叔母の葬式に行った。', 'Đi dự đám tang của người dì.'], ['連 ＿をする', 'Tổ chức đám tang'], ['連 ＿を出す', 'Cử hành đám tang'], ['連 ＿に行く', 'Đi dự đám tang'], ['類 葬儀', 'Tang lễ'], ['関 埋葬', 'Mai táng'], ['関 墓地', 'Nghĩa trang'], ['関 墓', 'Mộ'], ['関 墓参り', 'Viếng mộ']]"
4,世帯,せたい,THẾ ĐỚI,Hộ gia đình,"[['1. 都市部は一人住まいが多いので、世帯数が多い。', 'Khu vực thành thị có nhiều người sống một mình, nên số hộ gia đình cao.'], ['2. 二世帯住宅で、三世代が一緒に暮してるご家庭もある。', 'Cũng có những gia đình sống chung ba thế hệ trong căn nhà hai thế hệ.'], ['合 ＿主', 'Chủ gia đình, chủ hộ'], ['合 ＿数', 'Số hộ gia đình'], ['合 ニ＿ （住宅）', '(Nhà) hai thế hệ']]"
5,世間,せけん,THẾ GIAN,Thế giới,"[['① 汚職事件が世間を騒がせている。', 'Những vụ án tham nhũng đang làm xôn xao dư luận.'], ['彼女はまだ若いから、世間を知らない。', 'Cô ấy vẫn còn trẻ nên chưa hiểu nhiều biết về xã hội.'], ['合 ＿知らず', 'Tấm chiếu mới, ngây ngô'], ['合 ＿話', 'Chuyện phiếm'], ['合 ガ＿離れｽﾙ', 'Xa rời thực tế'], ['合 ＿並み', 'Bình thường như bao người'], ['類 世の中', 'Xã hội, thế giới'], ['類 社会', 'Xã hội'], ['慣 渡る世間に鬼はなし', 'Thế gian này còn nhiều người tốt'], ['② １億円の宝くじに当たったが、世間の口がうるさいので彼は黙っている。', 'Anh ấy trúng xổ số một trăm triệu Yên, nhưng vì sợ điều tiếng nên đã giữ im lặng.'], ['彼はすぐに敵を作って、自分で世間を狭くしている。', 'Anh ta dễ gây thù chuốc oán, tự mình khiến quan hệ xã hội càng thu hẹp.'], ['合 ＿体', 'Thể diện với xã hội'], ['連 ＿が狭い⇔広い', 'Mối quan hệ xã hội hẹp <=> rộng']]"
6,庶民,しょみん,THỨ DÂN,Dân thường,"[['1. こんな立派で広い家は、庶民には縁がない。', 'Ngôi nhà rộng và đẹp như thế này thì với thường dân thật là xa vời.'], ['合 ＿的な\u3000{例．彼女は庶民的なアイドルとして人気がある。}', 'Bình thường, bình dân (Ví dụ: Cô ấy được yêu thích như một thần tượng thân thiện.)'], ['合 ＿階級', 'Tầng lớp bình dân']]"
7,おんぶ,,,"Cõng, dựa","[['① 昔の母親は赤ん坊をおんぶして家事をしていたものだ。', 'Thời xưa các bà mẹ thường cõng con trên lưng làm việc nhà.'], ['関 ヲだっこスル', 'Ẵm, bế'], ['② 姉は結婚しているのに、何かにつけて実家におんぶしている。', 'Chị gái tôi dù đã lấy chồng nhưng có chuyện gì cũng dựa dẫm vào bố mẹ đẻ.'], ['関 ガ依存スル', 'Sự phụ thuộc; sống nhờ; nghiện'], ['慣 おんぶにだっこ', 'Dựa dẫm vào người khác']]"
8,片言,かたこと,PHIẾN NGÔN,Bập bõm (nói),"[['1. 1歳の誕生日を過ぎ、息子が片言を話すようになった。', 'Qua sinh nhật 1 tuổi, con trai đã bập bõm nói được vài từ.'], ['2. 母は片言の英語しか話せないが、アメリカでの旅は楽しかったそうだ。', 'Mẹ tôi chỉ nói bập bõm vài từ tiếng Anh nhưng nghe nói chuyến đi sang Mỹ rất vui.']]"
9,夜更かし,よふ,DẠ CANH,Thức khuya,"[['1. 休みの前の日は、ビデオを見て夜更かしをする。', 'Trước ngày nghỉ, tôi thức khuya xem video.'], ['関 夜更け', 'Đêm khuya']]"
10,家出,いえで,GIA XUẤT,Bỏ nhà,"[['1. 高校生の時、親に反発して家出をする。', 'Lúc học cấp 3 tôi đã chống đối với cha mẹ rồi bỏ nhà ra đi.']]"
