stt,word,furigana,Sino-Vietnamese,meaning,example
1,男性,だんせい,nam tính,"nam giới, đàn ông, giới tính nam","[['1. 理想の\u3000{男性／女性}\u3000と結婚する', 'Kết hôn với người đàn ông/ phụ nữ lý tưởng.']]"
2,女性,じょせい,nữ tính,"nữ giới, phụ nữ, giới tính nữ","[['1. 「あの｛○女性／○女の人／x女｝はだれですか」', 'Người con gái/phụ nữ kia là ai vậy.'], ['関 男女、\u3000性別', 'Nam nữ, giới tính']]"
3,高齢,こうれい,cao linh,tuổi cao,"[['1. 祖母は高齢だが、まだとても元気だ', 'Bà tôi tuy tuổi đã cao nhưng rất khỏe mạnh.'], ['合 ＿者、\u3000＿化社会', 'Người cao tuổi, sự già hóa dân số']]"
4,年上,としうえ,niên thượng,"lớn tuổi hơn, hơn tuổi","[['1. 年上の友だち', 'Bạn hơn tuổi.'], ['2. 彼女は私｛より／の｝三つ年上だ', 'Cô ấy lớn hơn tôi 3 tuổi.'], ['対 年下', 'Ít tuổi hơn, kém tuổi'], ['関 年長', 'Lớn tuổi hơn, lớn tuổi']]"
5,目上,めうえ,mục thượng,"cấp trên, bề trên","[['1. 目上の人には敬語で話したほうがいい', 'Đối với người bề trên nên nói chuyện bằng kính ngữ.'], ['対 目下', 'Cấp dưới, bề dười']]"
6,先輩,せんぱい,tiên bối,người đi trước,"[['1. 田中さんと私は同じ年だが、職場では彼のほうが先輩だ', 'Tanaka và tôi cùng tuổi nhưng ở công ty cậu ấy là tiền bối.']]"
7,後輩,こうはい,hậu bối,người đi sau,"[['', '']]"
8,上司,じょうし,thượng ti/tư,cấp trên,"[['1. 上司に相談してから決定する', 'Tôi sẽ trao đổi với cấp trên rồi mới quyết định.'], ['対 部下', 'Cấp dưới'], ['関 同僚', 'Đồng nghiệp']]"
9,相手,あいて,tương/tướng thủ,đối phương,"[['1. 相手の目を見て話す', 'Nhìn vào mắt người đối diện mà nói chuyện.'], ['2. 今度の試合の相手は強そうだ', 'Đối thủ trong trận đấu tới có vẻ mạnh.'], ['合 話＿、\u3000結婚＿、\u3000相談＿', 'Bạn nói chuyện, đối tượng kết hôn, đối tượng thảo luận']]"
10,知り合い,し,tri hợp,người quen,"[['1. 知り合いに息子の就職を頼む', 'Nhờ người quen xin việc cho đứa con trai.'], ['類 知人', 'Người quen'], ['関 友だち、\u3000友人、\u3000親友', 'Bạn bè, người bạn, bạn thân']]"
11,友人,ゆうじん,hữu nhân,"bạn, người bạn","[['1. 「田中さんを知っていますか」...「ええ、学生時代の友人です」', '""Bạn có biết anh Tanka không?"" ""Có, là bạn thời học sinh của tôi.""'], ['類 友だち', 'Bạn bè'], ['関 親友、\u3000知り合い', 'Bạn thân, người quen biết']]"
12,仲,なか,trọng,"quan hệ, mối quan hệ","[['1. 私は山本さんと仲がいい', 'Tôi thân với anh Yamamoto.'], ['連 ＿がいい<=> 悪い', 'Thân thiết <=> không hòa hợp'], ['合 ＿間、\u3000＿良し', 'Đồng bọn, bạn bè tốt']]"
13,生年月日,せいねん,sinh niên nguyệt nhật,ngày tháng năm sinh,"[['1. 書類に生年月日を記入する', 'Điền ngày tháng năm sinh vào tài liệu.'], ['関 誕生日', 'Ngày sinh']]"
14,誕生,たんじょう,đản sinh,ra đời,"[['1. 新しい命の誕生を祝う', 'Cầu chúc sự ra đời của sinh mệnh mới.'], ['2. 結婚２年目に子どもが誕生した', 'Đứa bé đã được sinh vào năm thứ hai sau khi kết hôn.'], ['3. 新政権が誕生する', 'Chính quyền mới sẽ được thành lập.'], ['合 ＿日', 'Ngày sinh'], ['関 生まれる', 'Được sinh ra']]"
